source_id,stock_id,company,source_type,source_url,source_host,primary,use_for,parser_type,refresh_cadence,health_selector,fallback_source_id,notes
twse_monthly_3037,3037,Unimicron,TWSE OpenAPI monthly revenue,https://openapi.twse.com.tw/v1/opendata/t187ap05_L,openapi.twse.com.tw,true,"company_revenue",twse_openapi_json,daily,"公司代號",mops_doc_3037,"Structured regulator API; filter 公司代號=3037"
twse_monthly_3189,3189,Kinsus,TWSE OpenAPI monthly revenue,https://openapi.twse.com.tw/v1/opendata/t187ap05_L,openapi.twse.com.tw,true,"company_revenue",twse_openapi_json,daily,"公司代號",kinsus_monthly,"Structured regulator API; filter 公司代號=3189"
twse_monthly_8046,8046,Nan Ya PCB,TWSE OpenAPI monthly revenue,https://openapi.twse.com.tw/v1/opendata/t187ap05_L,openapi.twse.com.tw,true,"company_revenue",twse_openapi_json,daily,"公司代號",nypcb_ir,"Structured regulator API; filter 公司代號=8046"
mops_doc_3037,3037,Unimicron,MOPS document archive,https://doc.twse.com.tw/server-java/t57sb01,doc.twse.com.tw,true,"filing;investor_material;annual_report",mops_document_archive,weekly,"server-java",mops_company_3037,"Regulator document archive; query by co_id=3037"
mops_company_3037,3037,Unimicron,MOPS company summary,https://mops.twse.com.tw/mops/web/t120sb02_q10,mops.twse.com.tw,true,"investor_material;guidance;capacity;downside",mops_company_summary,weekly,"法人說明會一覽表",webpro_3037,"Stable regulator fallback for company disclosures"
webpro_3037,3037,Unimicron,TWSE WebPro investor videos,https://webpro.twse.com.tw/,webpro.twse.com.tw,true,"guidance;utilization;product_mix;capacity;downside",webpro_archive,weekly,"法人說明會",mops_company_3037,"Video fallback when presentation text is unavailable"
kinsus_ir,3189,Kinsus,Investor conference archive,https://www.kinsus.com.tw/zh-tw/download/investor_conferences/index,www.kinsus.com.tw,true,"guidance;utilization;product_mix;capacity;downside",company_ir_archive,weekly,"法人說明",mops_company_3189,"Official conference archive"
kinsus_esg,3189,Kinsus,Sustainability reports,https://www.kinsus.com.tw/en/download/sustainability_reports/index,www.kinsus.com.tw,true,"capacity_proxy;production_proxy;resource_intensity",company_report_archive,monthly,"Sustainability",mops_company_3189,"Annual production/output proxy source"
kinsus_monthly,3189,Kinsus,Monthly revenue,https://www.kinsus.com.tw/en/annual/monthly_revenue,www.kinsus.com.tw,true,"company_revenue",company_table,monthly,"Monthly",twse_monthly_3189,"Company-site secondary primary-source path after TWSE structured API"
mops_company_3189,3189,Kinsus,MOPS company summary,https://mops.twse.com.tw/mops/web/t120sb02_q10,mops.twse.com.tw,true,"investor_material;guidance;capacity;downside",mops_company_summary,weekly,"法人說明會一覽表",kinsus_ir,"Regulator fallback for Kinsus disclosures"
nypcb_ir,8046,Nan Ya PCB,Investor and financial archive,https://www.nanyapcb.com.tw/nypcb/english/InvestorRelations/FinancialReports,www.nanyapcb.com.tw,true,"guidance;utilization;product_mix;capacity;downside;financials;company_revenue",nypcb_financial_archive,weekly,"Investor Event",mops_company_8046,"Official page exposes monthly sales, quarterly statements, investor-event PDFs and videos"
nypcb_abf_roadmap,8046,Nan Ya PCB,ABF technology roadmap,https://www.nanyapcb.com.tw/nypcb/chinese/Technology/ABFSRoadmap,www.nanyapcb.com.tw,true,"capacity;technology_mix;product_capability",company_html,monthly,"ABF",nypcb_ir,"Official ABF roadmap"
mops_company_8046,8046,Nan Ya PCB,MOPS company summary,https://mops.twse.com.tw/mops/web/t120sb02_q10,mops.twse.com.tw,true,"investor_material;guidance;capacity;downside",mops_company_summary,weekly,"法人說明會一覽表",nypcb_ir,"Regulator fallback for Nan Ya PCB disclosures"
webpro_8046,8046,Nan Ya PCB,TWSE WebPro investor videos,https://webpro.twse.com.tw/,webpro.twse.com.tw,true,"guidance;utilization;product_mix;capacity;downside",webpro_archive,weekly,"法人說明會",nypcb_ir,"Video fallback for management commentary"
